"";"Gene";"B1";"B2";"B3";"B4";"Condition"
"182";"ENSMUSG00000031207.17";7211,27938398283;8314,08182111984;6946,70641525824;7803,8991649621;"FLASH"
"183";"ENSMUSG00000036181.3";11157,8508656092;8028,25445815646;6934,95990336979;6232,40459627408;"FLASH"
"184";"ENSMUSG00000101609.4";3338,84340560596;3317,92703778497;4001,9462426091;3880,80207781868;"FLASH"
"185";"ENSMUSG00000036905.9";3577,72447163204;3880,62165828969;3857,37378859748;3955,053316411;"FLASH"
"186";"ENSMUSG00000031447.8";6131,2806946695;5955,78207403638;6179,56883115909;6489,93420860693;"FLASH"
"187";"ENSMUSG00000038393.15";6940,36445852796;7327,57421415218;7246,69425733234;8456,18219765917;"FLASH"
"188";"ENSMUSG00000038642.11";3524,63979029291;4124,33652576944;3894,42047993796;3649,58936017679;"FLASH"
"189";"ENSMUSG00000060586.12";4096,67299437836;5388,60740082064;4622,70421702148;4110,13501726837;"FLASH"
"190";"ENSMUSG00000015340.11";4008,80869423084;4818,74469597828;4040,80008962472;4081,93834438521;"FLASH"
"191";"ENSMUSG00000022283.16";20437,602315565;19081,4405067969;17265,5653203375;16674,5724540037;"FLASH"
"192";"ENSMUSG00000022584.15";2766,81020152051;3406,63208146326;2547,18592411719;3098,81434985909;"FLASH"
"193";"ENSMUSG00000030536.11";6851,5849052539;7995,10206809487;7053,32860009181;7838,675061518;"FLASH"
"194";"ENSMUSG00000031004.9";29537,0488995931;22755,0837298372;22169,282244844;16994,1347466795;"FLASH"
"195";"ENSMUSG00000027562.13";17938,9612801197;14034,2131225563;13880,7627407905;10505,1404271687;"FLASH"
"196";"ENSMUSG00000047139.10";12225,036011151;9843,57181666371;9848,09485170389;7067,96600271167;"FLASH"
"197";"ENSMUSG00000034248.8";11430,5962973171;9573,87264346002;9695,39019715412;7303,8781658341;"FLASH"
"198";"ENSMUSG00000069917.8";11583,4435694487;9083,7548768739;8808,07676065782;7868,75151259337;"FLASH"
"199";"ENSMUSG00000022797.17";10768,8682868311;10206,4560862567;9500,21738423844;7490,91609595905;"FLASH"
"200";"ENSMUSG00000004552.17";9100,36183715462;6435,14771411603;7166,27582978838;4983,29198755017;"FLASH"
"201";"ENSMUSG00000028644.18";7953,54966960411;5816,90043999461;6153,36507386948;4527,44577593911;"FLASH"
"202";"ENSMUSG00000069833.14";26012,4091093002;30358,6291909885;28233,1931127938;29856,5170268802;"FLASH"
"203";"ENSMUSG00000100210.3";9259,61588117201;6458,44398821336;5581,40030268602;4847,00806861491;"FLASH"
"204";"ENSMUSG00000024588.11";8456,02363607277;6401,09931351225;6437,99209270486;5026,52688597101;"FLASH"
"205";"ENSMUSG00000058773.3";7860,19385069736;6027,46291741278;5553,38938972127;4487,03054480659;"FLASH"
"206";"ENSMUSG00000031543.19";7726,566894223;5346,49490533701;5917,53125826303;4419,35852988701;"FLASH"
"207";"ENSMUSG00000051839.8";5916,19620993337;4816,95267489387;4559,4537683914;3158,96725200983;"FLASH"
