"";"boot";"cols";"Accuracy";"acc_teste";"mean_acc_test"
"606";152;2;1;0,55;0,425
"607";152;3;1;0,4;0,425
"608";152;4;1;0,35;0,425
"609";153;1;1;0,65;0,575
"610";153;2;1;0,4;0,575
"611";153;3;1;0,6;0,575
"612";153;4;1;0,55;0,575
"613";154;1;1;0,35;0,525
"614";154;2;1;0,5;0,525
"615";154;3;1;0,55;0,525
"616";154;4;1;0,6;0,525
"617";155;1;1;0,5;0,5
"618";155;2;1;0,5;0,5
"619";155;3;1;0,6;0,5
"620";155;4;1;0,45;0,5
"621";156;1;1;0,4;0,475
"622";156;2;1;0,45;0,475
"623";156;3;1;0,5;0,475
"624";156;4;1;0,5;0,475
"625";157;1;1;0,5;0,45
"626";157;2;1;0,45;0,45
"627";157;3;1;0,45;0,45
"628";157;4;1;0,4;0,45
"629";158;1;1;0,6;0,525
"630";158;2;1;0,5;0,525
"631";158;3;1;0,45;0,525
"632";158;4;1;0,55;0,525
"633";159;1;1;0,5;0,4
"634";159;2;1;0,4;0,4
"635";159;3;1;0,4;0,4
"636";159;4;1;0,4;0,4
"637";160;1;1;0,8;0,55
"638";160;2;1;0,5;0,55
"639";160;3;1;0,6;0,55
"640";160;4;1;0,5;0,55
"641";161;1;1;0,55;0,55
"642";161;2;1;0,55;0,55
"643";161;3;1;0,55;0,55
"644";161;4;1;0,7;0,55
"645";162;1;1;0,35;0,35
"646";162;2;1;0,3;0,35
"647";162;3;1;0,4;0,35
"648";162;4;1;0,35;0,35
"649";163;1;1;0,65;0,525
"650";163;2;1;0,45;0,525
"651";163;3;1;0,55;0,525
"652";163;4;1;0,5;0,525
"653";164;1;1;0,4;0,45
"654";164;2;1;0,5;0,45
"655";164;3;1;0,5;0,45
"656";164;4;1;0,4;0,45
"657";165;1;1;0,55;0,525
"658";165;2;1;0,5;0,525
"659";165;3;1;0,45;0,525
"660";165;4;1;0,55;0,525
"661";166;1;1;0,5;0,5
"662";166;2;1;0,55;0,5
"663";166;3;1;0,45;0,5
"664";166;4;1;0,5;0,5
"665";167;1;1;0,45;0,5
"666";167;2;1;0,5;0,5
"667";167;3;1;0,5;0,5
"668";167;4;1;0,55;0,5
"669";168;1;1;0,25;0,45
"670";168;2;1;0,45;0,45
"671";168;3;1;0,5;0,45
"672";168;4;1;0,45;0,45
"673";169;1;1;0,4;0,425
"674";169;2;1;0,45;0,425
"675";169;3;1;0,4;0,425
"676";169;4;1;0,5;0,425
"677";170;1;1;0,45;0,475
"678";170;2;1;0,5;0,475
"679";170;3;1;0,5;0,475
"680";170;4;1;0,45;0,475
"681";171;1;1;0,6;0,575
"682";171;2;1;0,55;0,575
"683";171;3;1;0,6;0,575
"684";171;4;1;0,45;0,575
"685";172;1;1;0,6;0,5
"686";172;2;1;0,5;0,5
"687";172;3;1;0,45;0,5
"688";172;4;1;0,5;0,5
"689";173;1;1;0,5;0,525
"690";173;2;1;0,5;0,525
"691";173;3;1;0,55;0,525
"692";173;4;1;0,65;0,525
"693";174;1;1;0,3;0,55
"694";174;2;1;0,55;0,55
"695";174;3;1;0,6;0,55
"696";174;4;1;0,55;0,55
"697";175;1;1;0,7;0,6
"698";175;2;1;0,55;0,6
"699";175;3;1;0,6;0,6
"700";175;4;1;0,6;0,6
"701";176;1;1;0,55;0,5
"702";176;2;1;0,5;0,5
