"";"Gene";"S1";"S2";"S3";"S4";"Condition"
"180";"ENSMUSG00000055322.17";8802,10835456013;8504,90257740154;8255,54873482928;9836,95312431895;"FLASH"
"181";"ENSMUSG00000015932.9";9981,09710954986;10436,379825218;11311,4805245693;11670,8758616108;"FLASH"
"182";"ENSMUSG00000062825.16";14304,0558778456;12955,8371633917;15096,4541380669;13034,9714631803;"FLASH"
"183";"ENSMUSG00000036438.15";6450,17694076009;7776,06337283877;7990,1850658191;7075,1428059225;"FLASH"
"184";"ENSMUSG00000016534.16";8592,51035367306;8476,09048585953;10134,8145758623;8042,53284745455;"FLASH"
"185";"ENSMUSG00000070868.12";4454,96520154669;5488,16988150265;5835,16765414209;5156,33180260567;"FLASH"
"186";"ENSMUSG00000006342.16";7784,34883102198;9542,137872914;9458,65661496798;10179,0276220631;"FLASH"
"187";"ENSMUSG00002076161.1";248519,863280238;519295,958626328;450802,369374441;382716,169893146;"STANDARD"
"188";"ENSMUSG00000051747.17";213030,422107547;39991,0740594147;4885,03610736994;16158,2279914444;"STANDARD"
"189";"ENSMUSG00000064351.1";293776,066606347;255022,055606303;236809,884226494;389132,028670745;"STANDARD"
"190";"ENSMUSG00000119584.1";10039,2406627704;141457,690498602;55986,6708641238;2385,1433490654;"STANDARD"
"191";"ENSMUSG00000061527.8";68532,7684546031;55564,4511952538;80151,7970210591;195102,229510446;"STANDARD"
"192";"ENSMUSG00000045545.9";46273,5743837566;38349,3199090197;50169,6150447979;159991,837620191;"STANDARD"
"193";"ENSMUSG00000031972.6";79808,7784552791;11730,003501256;1888,71611689648;1872,33232809321;"STANDARD"
"194";"ENSMUSG00000030730.13";68071,8551319644;11917,2721484346;2081,38414289145;2369,54057966463;"STANDARD"
"195";"ENSMUSG00000064341.1";112482,313474498;102971,557743716;98898,490860727;157774,163996028;"STANDARD"
"196";"ENSMUSG00000057003.13";61000,6839460705;14109,1885939088;2021,59061758266;3120,55388015535;"STANDARD"
"197";"ENSMUSG00000064370.1";89125,2433318772;81988,7365248678;71186,564639047;127401,813080476;"STANDARD"
"198";"ENSMUSG00000067594.7";95046,3428873868;89021,4989847158;100696,093034296;25083,0120886887;"STANDARD"
"199";"ENSMUSG00000064367.1";95688,6136594322;84643,4879169959;85669,8852138411;127931,267055475;"STANDARD"
"200";"ENSMUSG00000025064.16";31277,5249940296;25219,1679213453;28722,7215304714;83639,1654651771;"STANDARD"
"201";"ENSMUSG00000026950.19";50525,300734239;9408,06633701529;1258,51134221343;2652,47079813205;"STANDARD"
"202";"ENSMUSG00000037071.4";40628,4920195392;68796,4850894243;35792,5940705528;9863,03063054434;"STANDARD"
"203";"ENSMUSG00000069833.14";200775,081880074;190622,987662027;190105,446338877;208673,518335242;"STANDARD"
"204";"ENSMUSG00000064345.1";67394,1975405226;52560,3904094246;53233,3213891908;82945,3623191559;"STANDARD"
"205";"ENSMUSG00000022565.16";34567,6145274138;28960,6596494323;28520,5624687131;64239,722176878;"STANDARD"
