"";"LHS";"RHS";"support";"confidence";"coverage";"lift";"count"
"123";" Naca=[5.17e+03,6.1e+03]";" Ly6c2=[1.95e+03,2.03e+03]";0,5;1;0,5;2;2
"124";" Ly6c2=[1.95e+03,2.03e+03]";" Naca=[5.17e+03,6.1e+03]";0,5;1;0,5;2;2
"125";" mt-Rnr2=[2.03e+03,1.05e+04]";" mt-Cytb=[6.84e+04,7.99e+04]";0,5;1;0,5;2;2
"126";" mt-Cytb=[6.84e+04,7.99e+04]";" mt-Rnr2=[2.03e+03,1.05e+04]";0,5;1;0,5;2;2
"127";" mt-Rnr2=[2.03e+03,1.05e+04]";" Rn18s-rs5=[2.94e+04,2.09e+05]";0,5;1;0,5;2;2
"128";" Rn18s-rs5=[2.94e+04,2.09e+05]";" mt-Rnr2=[2.03e+03,1.05e+04]";0,5;1;0,5;2;2
"129";" mt-Rnr2=[2.03e+03,1.05e+04]";" Ldb3=[1.51e+03,2.25e+03]";0,5;1;0,5;2;2
"130";" Ldb3=[1.51e+03,2.25e+03]";" mt-Rnr2=[2.03e+03,1.05e+04]";0,5;1;0,5;2;2
"131";" mt-Rnr2=[2.03e+03,1.05e+04]";" Des=[1.61e+03,2.59e+03]";0,5;1;0,5;2;2
"132";" Des=[1.61e+03,2.59e+03]";" mt-Rnr2=[2.03e+03,1.05e+04]";0,5;1;0,5;2;2
"133";" mt-Rnr2=[2.03e+03,1.05e+04]";" Acta1=[1.27e+04,2.27e+04]";0,5;1;0,5;2;2
"134";" Acta1=[1.27e+04,2.27e+04]";" mt-Rnr2=[2.03e+03,1.05e+04]";0,5;1;0,5;2;2
"135";" mt-Rnr2=[2.03e+03,1.05e+04]";" Myh2=[2.56e+03,3.07e+03]";0,5;1;0,5;2;2
"136";" Myh2=[2.56e+03,3.07e+03]";" mt-Rnr2=[2.03e+03,1.05e+04]";0,5;1;0,5;2;2
"137";" mt-Cytb=[6.84e+04,7.99e+04]";" Rn18s-rs5=[2.94e+04,2.09e+05]";0,5;1;0,5;2;2
"138";" Rn18s-rs5=[2.94e+04,2.09e+05]";" mt-Cytb=[6.84e+04,7.99e+04]";0,5;1;0,5;2;2
"139";" mt-Cytb=[6.84e+04,7.99e+04]";" Ldb3=[1.51e+03,2.25e+03]";0,5;1;0,5;2;2
"140";" Ldb3=[1.51e+03,2.25e+03]";" mt-Cytb=[6.84e+04,7.99e+04]";0,5;1;0,5;2;2
"141";" mt-Cytb=[6.84e+04,7.99e+04]";" Des=[1.61e+03,2.59e+03]";0,5;1;0,5;2;2
"142";" Des=[1.61e+03,2.59e+03]";" mt-Cytb=[6.84e+04,7.99e+04]";0,5;1;0,5;2;2
"143";" mt-Cytb=[6.84e+04,7.99e+04]";" Acta1=[1.27e+04,2.27e+04]";0,5;1;0,5;2;2
"144";" Acta1=[1.27e+04,2.27e+04]";" mt-Cytb=[6.84e+04,7.99e+04]";0,5;1;0,5;2;2
"145";" mt-Cytb=[6.84e+04,7.99e+04]";" Myh2=[2.56e+03,3.07e+03]";0,5;1;0,5;2;2
"146";" Myh2=[2.56e+03,3.07e+03]";" mt-Cytb=[6.84e+04,7.99e+04]";0,5;1;0,5;2;2
"147";" H3c3=[7.84e+03,7.9e+03]";" Rnf213=[1.04e+04,1.1e+04]";0,5;1;0,5;2;2
"148";" Rnf213=[1.04e+04,1.1e+04]";" H3c3=[7.84e+03,7.9e+03]";0,5;1;0,5;2;2
"149";" H3c3=[7.84e+03,7.9e+03]";" H2bc15=[4.18e+03,4.66e+03]";0,5;1;0,5;2;2
"150";" H2bc15=[4.18e+03,4.66e+03]";" H3c3=[7.84e+03,7.9e+03]";0,5;1;0,5;2;2
"151";" H3c3=[7.84e+03,7.9e+03]";" H3c11=[6.01e+03,6.35e+03]";0,5;1;0,5;2;2
"152";" H3c11=[6.01e+03,6.35e+03]";" H3c3=[7.84e+03,7.9e+03]";0,5;1;0,5;2;2
"153";" H3c3=[7.84e+03,7.9e+03]";" Hsp90ab1=[9.58e+03,1.16e+04]";0,5;1;0,5;2;2
"154";" Hsp90ab1=[9.58e+03,1.16e+04]";" H3c3=[7.84e+03,7.9e+03]";0,5;1;0,5;2;2
"155";" H3c3=[7.84e+03,7.9e+03]";" Mpo=[2.51e+03,4.23e+03]";0,5;1;0,5;2;2
"156";" Mpo=[2.51e+03,4.23e+03]";" H3c3=[7.84e+03,7.9e+03]";0,5;1;0,5;2;2
"157";" H3c3=[7.84e+03,7.9e+03]";" Alas2=[5.85e+03,7.38e+03]";0,5;1;0,5;2;2
"158";" Alas2=[5.85e+03,7.38e+03]";" H3c3=[7.84e+03,7.9e+03]";0,5;1;0,5;2;2
"159";" H3c3=[7.84e+03,7.9e+03]";" Scd1=[3.27e+04,3.68e+04]";0,5;1;0,5;2;2
"160";" Scd1=[3.27e+04,3.68e+04]";" H3c3=[7.84e+03,7.9e+03]";0,5;1;0,5;2;2
"161";" H3c3=[7.84e+03,7.9e+03]";" Ly6c2=[1.95e+03,2.03e+03]";0,5;1;0,5;2;2
"162";" Ly6c2=[1.95e+03,2.03e+03]";" H3c3=[7.84e+03,7.9e+03]";0,5;1;0,5;2;2
"163";" Rnf213=[1.04e+04,1.1e+04]";" H2bc15=[4.18e+03,4.66e+03]";0,5;1;0,5;2;2
"164";" H2bc15=[4.18e+03,4.66e+03]";" Rnf213=[1.04e+04,1.1e+04]";0,5;1;0,5;2;2
"165";" Rnf213=[1.04e+04,1.1e+04]";" H3c11=[6.01e+03,6.35e+03]";0,5;1;0,5;2;2
"166";" H3c11=[6.01e+03,6.35e+03]";" Rnf213=[1.04e+04,1.1e+04]";0,5;1;0,5;2;2
"167";" Rnf213=[1.04e+04,1.1e+04]";" Hsp90ab1=[9.58e+03,1.16e+04]";0,5;1;0,5;2;2
"168";" Hsp90ab1=[9.58e+03,1.16e+04]";" Rnf213=[1.04e+04,1.1e+04]";0,5;1;0,5;2;2
"169";" Rnf213=[1.04e+04,1.1e+04]";" Mpo=[2.51e+03,4.23e+03]";0,5;1;0,5;2;2
"170";" Mpo=[2.51e+03,4.23e+03]";" Rnf213=[1.04e+04,1.1e+04]";0,5;1;0,5;2;2
"171";" Rnf213=[1.04e+04,1.1e+04]";" Alas2=[5.85e+03,7.38e+03]";0,5;1;0,5;2;2
"172";" Alas2=[5.85e+03,7.38e+03]";" Rnf213=[1.04e+04,1.1e+04]";0,5;1;0,5;2;2
"173";" Rnf213=[1.04e+04,1.1e+04]";" Scd1=[3.27e+04,3.68e+04]";0,5;1;0,5;2;2
"174";" Scd1=[3.27e+04,3.68e+04]";" Rnf213=[1.04e+04,1.1e+04]";0,5;1;0,5;2;2
"175";" Rnf213=[1.04e+04,1.1e+04]";" Ly6c2=[1.95e+03,2.03e+03]";0,5;1;0,5;2;2
"176";" Ly6c2=[1.95e+03,2.03e+03]";" Rnf213=[1.04e+04,1.1e+04]";0,5;1;0,5;2;2
"177";" Serpinh1=[6.92e+03,7.86e+03]";" Chad=[5.46e+03,5.72e+03]";0,5;1;0,5;2;2
"178";" Chad=[5.46e+03,5.72e+03]";" Serpinh1=[6.92e+03,7.86e+03]";0,5;1;0,5;2;2
"179";" Serpinh1=[6.92e+03,7.86e+03]";" Ctss=[3.23e+03,3.57e+03]";0,5;1;0,5;2;2
"180";" Ctss=[3.23e+03,3.57e+03]";" Serpinh1=[6.92e+03,7.86e+03]";0,5;1;0,5;2;2
"181";" Serpinh1=[6.92e+03,7.86e+03]";" Pde4dip=[3.99e+03,5.38e+03]";0,5;1;0,5;2;2
"182";" Pde4dip=[3.99e+03,5.38e+03]";" Serpinh1=[6.92e+03,7.86e+03]";0,5;1;0,5;2;2
"183";" Serpinh1=[6.92e+03,7.86e+03]";" Sparc=[9.74e+04,1.01e+05]";0,5;1;0,5;2;2
"184";" Sparc=[9.74e+04,1.01e+05]";" Serpinh1=[6.92e+03,7.86e+03]";0,5;1;0,5;2;2
"185";" Serpinh1=[6.92e+03,7.86e+03]";" Ctsk=[9.62e+03,9.91e+03]";0,5;1;0,5;2;2
"186";" Ctsk=[9.62e+03,9.91e+03]";" Serpinh1=[6.92e+03,7.86e+03]";0,5;1;0,5;2;2
"187";" Serpinh1=[6.92e+03,7.86e+03]";" Tnc=[2.08e+04,2.26e+04]";0,5;1;0,5;2;2
"188";" Tnc=[2.08e+04,2.26e+04]";" Serpinh1=[6.92e+03,7.86e+03]";0,5;1;0,5;2;2
"189";" Serpinh1=[6.92e+03,7.86e+03]";" Laptm5=[9.52e+03,1.04e+04]";0,5;1;0,5;2;2
"190";" Laptm5=[9.52e+03,1.04e+04]";" Serpinh1=[6.92e+03,7.86e+03]";0,5;1;0,5;2;2
"191";" Serpinh1=[6.92e+03,7.86e+03]";" Igfbp4=[2.1e+04,2.19e+04]";0,5;1;0,5;2;2
"192";" Igfbp4=[2.1e+04,2.19e+04]";" Serpinh1=[6.92e+03,7.86e+03]";0,5;1;0,5;2;2
"193";" Serpinh1=[6.92e+03,7.86e+03]";" Atp2a1=[1.54e+04,2.62e+04]";0,5;1;0,5;2;2
"194";" Atp2a1=[1.54e+04,2.62e+04]";" Serpinh1=[6.92e+03,7.86e+03]";0,5;1;0,5;2;2
"195";" Serpinh1=[6.92e+03,7.86e+03]";" Pkm=[3.17e+03,4.45e+03]";0,5;1;0,5;2;2
"196";" Pkm=[3.17e+03,4.45e+03]";" Serpinh1=[6.92e+03,7.86e+03]";0,5;1;0,5;2;2
